day,arima_forecast,arima_lower,arima_upper,lstm_forecast,lstm_lower,lstm_upper,prophet_forecast,prophet_lower,prophet_upper,coin
29,166.6417074496363,92.02865938985074,241.25475550942184,56.70553911096483,,,168.30812452413267,91.10837279595223,243.66730306451606,SOL
30,166.64171404260335,90.746435700319,242.5369923848877,54.20558254426689,,,168.3081311830294,89.8389713433158,244.96236230873657,SOL
1,0.18208028635931597,0.16078326354466893,0.20337730917396302,0.09456534801737158,,,0.18390108922290913,0.15917543090922223,0.20541108226570265,DOGE
2,0.18238126967432422,0.15243714445992004,0.2123253948887284,0.10861881159088714,,,0.18420508237106747,0.15091277301532083,0.2144486488376157,DOGE
3,0.18234986436489886,0.14630220465917412,0.2183975240706236,0.17433276703628944,,,0.18417336300854786,0.14483918261258238,0.22058149931132984,DOGE
4,0.18252811425269266,0.14142437415571646,0.22363185434966887,0.04746524761859226,,,0.18435339539521958,0.1400101304141593,0.22586817289316555,DOGE
5,0.1826155962590702,0.13665592791559694,0.22857526460254346,0.14358263079170477,,,0.1844417522216609,0.13528936863644098,0.2308610172485689,DOGE
6,0.18262719836183475,0.1319800197800287,0.23327437694364078,0.1880817489315714,,,0.1844534703454531,0.13066021958222843,0.23560712071307718,DOGE
7,0.18262903202777153,0.12772525605325835,0.2375328080022847,0.15639278406942406,,,0.18445532234804926,0.12644800349272578,0.23990813608230757,DOGE
8,0.18263237395411333,0.12381108457680357,0.2414536633314231,0.04596534718079786,,,0.18445869769365447,0.12257297373103553,0.24386819996473733,DOGE
9,0.18264109105913437,0.12014344664446712,0.2451387354738016,0.05578572779916838,,,0.18446750196972572,0.11894201217802244,0.24759012282853962,DOGE
10,0.18264412109232375,0.11665615407775405,0.24863208810689347,0.11141019691947766,,,0.184470562303247,0.11548959253697651,0.2511184089879624,DOGE
11,0.18264408003522045,0.11333490812508626,0.2519532519453547,0.05558508813706372,,,0.18447052083557267,0.1122015590438354,0.2544727844648082,DOGE
12,0.18264398054945583,0.11016827925712647,0.2551196818417852,0.1670237168457008,,,0.1844704203549504,0.1090665964645552,0.25767087866020305,DOGE
13,0.18264435610254143,0.10713601535072041,0.25815269685436243,0.11459931147509103,,,0.18447079966356683,0.10606465519721321,0.26073422382290606,DOGE
14,0.18264475400786673,0.1042202628356426,0.26106924518009084,0.004334739249882264,,,0.18447120154794538,0.10317806020728618,0.26367993763189174,DOGE
15,0.1826448327005076,0.10140802745195332,0.2638816379490619,0.046218149736552284,,,0.18447128102751267,0.10039394717743379,0.2665204543285525,DOGE
16,0.18264480249044585,0.09868976290920359,0.2665998420716881,0.14862785830419897,,,0.1844712505153503,0.09770286528011154,0.269265840492405,DOGE
17,0.18264480289076807,0.096056975667698,0.26923263011383813,0.008310361405855235,,,0.18447125091967576,0.09509640591102102,0.2719249564149765,DOGE
18,0.1826448296383778,0.09350196411960665,0.27178769515714896,0.034980736526866854,,,0.1844712779347616,0.09256694447841059,0.27450557210872045,DOGE
19,0.18264484579444706,0.09101811203650917,0.27427157955238496,0.03273336879109997,,,0.18447129425239153,0.09010793091614408,0.27701429534790883,DOGE
20,0.1826448459009262,0.08859979618690499,0.2766898956149474,0.09395916980299827,,,0.18447129435993545,0.08771379822503593,0.27945679457109684,DOGE
21,0.18264484373684367,0.08624212878151781,0.2790475586921695,0.14238135476993058,,,0.1844712921742121,0.08537970749370263,0.2818380342790912,DOGE
22,0.18264484446311374,0.08394077111871812,0.28134891780750937,0.07523445338723336,,,0.1844712929077449,0.08310136340753094,0.2841624069855845,DOGE
23,0.18264484601518532,0.08169186242620419,0.28359782960416646,0.08333946703975093,,,0.18447129447533717,0.08087494380194214,0.2864338079002081,DOGE
24,0.18264484653808996,0.07949196841204548,0.28579772466413444,0.18937274316974662,,,0.18447129500347087,0.07869704872792502,0.2886557019107758,DOGE
25,0.18264484637522777,0.0773380195202643,0.2879516732301912,0.08641867924764213,,,0.18447129483898003,0.07656463932506165,0.29083118996249313,DOGE
26,0.1826448462821391,0.07522725374950735,0.29006243881477084,0.07869304004777274,,,0.1844712947449605,0.07447498121201228,0.29296306320291854,DOGE
27,0.18264484636168157,0.0731571733921636,0.29213251933119955,0.09447524617240788,,,0.1844712948252984,0.07242560165824197,0.29505384452451155,DOGE
28,0.18264484643776574,0.07112551220348216,0.2941641806720493,0.1338995907388782,,,0.1844712949021434,0.07041425708144734,0.2971058224787698,DOGE
29,0.18264484644625364,0.0691302072492572,0.2961594856432501,0.013686139155485383,,,0.18447129491071618,0.06843890517676463,0.2991210804996826,DOGE
30,0.18264484643265091,0.0671693740757316,0.29812031878957024,0.1873147604644266,,,0.18447129489697742,0.06649768033497429,0.3011015219774659,DOGE
1,3.2437578745307136,2.883399638954072,3.604116110107355,2.34096531111701,,,3.2761954532760207,2.8545656425645314,3.640157271208429,DOT
2,3.253707233211926,2.73511259719527,3.772301869228582,2.406539264826471,,,3.2862443055440456,2.7077614712233173,3.810024887920868,DOT
3,3.2555764345643885,2.633620396755542,3.877532472373235,3.8116001536944495,,,3.2881321989100325,2.6072841927879864,3.9163077970969677,DOT
4,3.2536659297520165,2.5499949331775196,3.9573369263265135,2.158211577163623,,,3.2862025890495365,2.5244949838457442,3.9969102955897786,DOT
5,3.2548063146383224,2.4837611733151936,4.025851455961451,1.2182416562327014,,,3.2873543777847054,2.4589235615820417,4.066109970521065,DOT
