date,coin,open,high,low,close,volume,avg_sentiment,sentiment_count,sentiment_7d,sentiment_14d,sentiment_30d,log_return,volatility_14d,future_vol_7d,future_vol_14d,future_vol_30d,future_return_7d,future_return_14d,future_return_30d
2025-05-10,ADA,0.7773,0.8435,0.7704,0.8406,177651038.9,0.46665,8.0,0.37680238095238094,0.21005833333333332,0.3382833333333333,0.07816090415289358,0.051004896894533025,0.04661062021108379,,,-0.08482036640494883,,
2025-05-11,ADA,0.8406,0.8466,0.7813,0.8053,131407953.5,0.0,2.0,0.28931666666666667,0.17067261904761905,0.32928499999999994,-0.0429010437695171,0.052974100039942136,,,,,,
2025-05-12,ADA,0.8054,0.8643,0.7802,0.817,250186987.8,0.7319,2.0,0.28573095238095236,0.1729297619047619,0.3351016666666667,0.014424216058503582,0.05298116619425907,,,,,,
2025-05-13,ADA,0.8169,0.8419,0.7716,0.8299,170776720.3,0.836275,16.0,0.37818452380952383,0.23266369047619048,0.34256416666666667,0.015666116744399456,0.052835557577299394,,,,,,
2025-05-14,ADA,0.83,0.8337,0.7887,0.7986,137228841.5,0.9117500000000001,4.0,0.44393452380952386,0.2977886904761905,0.4024891666666667,-0.03844501697528136,0.04931219256291927,,,,,,
2025-05-15,ADA,0.7987,0.8102,0.7445,0.7624,181474078.9,0.0,2.0,0.42093928571428574,0.2977886904761905,0.38602583333333335,-0.04638884228912864,0.049896824713835275,,,,,,
2025-05-17,ADA,0.7588,0.7814,0.7267,0.7427,127369154.9,-0.1845,4.0,0.3945821428571428,0.28461011904761907,0.3489825,-0.026179157664741524,0.04641775236684006,,,,,,
2025-05-21,ADA,0.7461,0.7839,0.7366,0.7693,152161906.6,-0.8402,2.0,0.20788928571428572,0.29234583333333336,0.29511916666666665,0.03518881578963818,0.04661062021108379,,,,,,
2025-02-01,BTC,102429.56,102783.71,100279.51,100635.65,12290.95747,0.4348666666666667,6.0,0.3438442857142857,0.46160297619047613,0.41198355555555555,,,,0.0189615150459293,0.05145063350009489,-0.0416443874511665,-0.030466241336941646,-0.19396575666774152
2025-02-02,BTC,100635.66,101456.6,96150.0,97700.59,34619.49939,0.071,6.0,0.39417761904761905,0.4055672619047619,0.4204846666666667,-0.029598970722466058,,,0.01793331806066819,0.05174349856379785,-0.01266972901596597,-0.019657916088326566,-0.15482055942548556
2025-02-03,BTC,97700.59,102500.01,91231.0,101328.52,75164.7385,-0.09663333333333331,6.0,0.348277619047619,0.34729059523809525,0.39348022222222223,0.03646031368487303,,,0.014264591442473303,0.05228049812684015,-0.03846597187050593,-0.05582613858368801,-0.17091426974360235
2025-02-04,BTC,101328.51,101732.31,96150.0,97763.13,40267.98697,0.2714,4.0,0.3399276190476191,0.31451678571428576,0.3752552222222222,-0.03582039951426249,,,0.011404048341176651,0.04806031988364052,-0.0203034620515935,-0.011443577962366835,-0.15392408160417947
2025-02-05,BTC,97763.14,99149.0,96155.0,96612.43,26233.30444,0.7600666666666666,6.0,0.4109942857142857,0.3527405952380952,0.3738218888888889,-0.011840104206887518,,,0.011007117695703433,0.04808365388629681,0.013016544558500431,-0.003668575565276555,-0.10108937328250611
2025-02-06,BTC,96612.44,99120.0,95676.64,96554.35,23515.20405,0.502425,8.0,0.3966607142857143,0.3733155952380952,0.3638360555555556,-0.0006013456532248081,,,0.024466044952709664,0.04885668249988871,0.0005570955632758778,-0.08154940714737358,-0.12771004102870565
2025-02-07,BTC,96554.35,100137.99,95620.34,96506.8,31794.22065,0.8555,2.0,0.3998035714285714,0.39936916666666666,0.36990938888888886,-0.0004925900520273397,,,0.027184617149182716,0.0488586402799633,0.010296476517716924,-0.12700358938437506,-0.13124681369602975
2025-02-08,BTC,96506.8,96880.0,95688.0,96444.74,10147.24294,0.8957,2.0,0.4656369047619048,0.40474059523809525,0.3997660555555555,-0.0006432703479849328,,0.0189615150459293,0.02738787257228124,0.03800763787081284,0.011663881306538837,-0.12168792201627587,-0.10744225138664898
2025-02-09,BTC,96444.75,97323.09,94713.0,96462.75,14120.91613,0.9517,2.0,0.5914511904761904,0.4928144047619048,0.41151438888888886,0.00018672162550374357,,0.01793331806066819,0.027295675805620537,0.02994041526038028,-0.007077861661625828,-0.12556981840140358,-0.09293317886956365
2025-02-10,BTC,96462.75,98345.0,95256.0,97430.82,20572.87537,0.85358,10.0,0.7271959523809522,0.5377367857142857,0.4692303888888889,0.009985664239646478,,0.014264591442473303,0.04220585520677443,0.029824671912176602,-0.018054656627133014,-0.032441685290137245,-0.10799098273010543
2025-02-11,BTC,97430.82,98478.42,94876.88,95778.2,18647.76379,0.33813333333333334,6.0,0.7367292857142856,0.5383284523809524,0.45927149999999994,-0.017107486030289196,,0.011404048341176651,0.04813379836271664,0.027844111082517872,0.009043498416132278,-0.09978878283367187,-0.08922896859619411
2025-02-12,BTC,95778.21,98119.99,94088.23,97869.99,29151.16625,-0.017000000000000015,6.0,0.625719761904762,0.5183570238095238,0.4587048333333333,0.021604863590941464,,0.011007117695703433,0.04776154057760643,0.026828536313245346,-0.01647072815681294,-0.10818443937717792,-0.13738235796284437
2025-02-13,BTC,97870.0,98083.91,95217.36,96608.14,19921.77616,-0.65635,4.0,0.46018047619047614,0.4284205952380952,0.4352165,-0.012976962582638805,,0.024466044952709664,0.04924526464482383,0.024690705579609347,-0.08206078701028718,-0.06212861566323502,-0.14717341623594027
2025-02-14,BTC,96608.13,98826.0,96252.82,97500.48,18173.02646,0.5523428571428571,14.0,0.4168723129251701,0.40833794217687075,0.42755992857142855,0.009194298389878524,,0.027184617149182716,0.050084926083507654,0.024555133446790427,-0.13590076684750685,-0.10973002389321562,-0.15333739895434362
2025-02-15,BTC,97500.47,97972.26,97223.58,97569.66,7349.37683,0.44245,4.0,0.3521223129251701,0.40887960884353747,0.4290427063492063,0.0007092833675137415,0.0189615150459293,0.02738787257228124,0.05096516038543708,0.024308395103214604,-0.13181433654683228,-0.1500125141360542,-0.12720470687301777
2025-02-17,BTC,96118.12,97046.59,95205.0,95780.0,16492.0451,0.8921666666666667,6.0,0.34361755102040814,0.4675343707482993,0.4461707619047619,-0.01851268952165657,0.01793331806066819,0.027295675805620537,0.051207479291924304,0.024903919846540445,-0.11933660471914798,-0.12632992273961163,-0.1312059929003968
2025-02-18,BTC,95780.01,96753.91,93388.09,95671.74,23368.19471,0.9682,2.0,0.35999183673469387,0.5435938945578231,0.4682374285714286,-0.001130937870179614,0.014264591442473303,0.04220585520677443,0.05145063350009489,0.02455031125575124,-0.014651557502769474,-0.15214482353932313,-0.1231489047863038
2025-02-19,BTC,95671.74,96899.99,95029.99,96644.37,16438.50954,0.06890000000000003,8.0,0.3215299319727891,0.5291296088435374,0.44201742857142856,0.010114995490717066,0.011404048341176651,0.04813379836271664,0.05174349856379785,0.0241864753786444,-0.10785687774673258,-0.14558364858708273,-0.13561452157016485
2025-02-23,BTC,96551.01,96650.0,95227.94,96258.0,10884.84913,0.9062,2.0,0.4534156462585034,0.5395677040816327,0.4482494285714286,-0.004005865938006974,0.011007117695703433,0.04776154057760643,0.05228049812684015,0.02553374239014678,-0.093249600033244,-0.12724106048328454,-0.18521057989985246
2025-02-25,BTC,91552.88,92540.69,86050.99,88680.4,78333.11111,0.031399999999999983,6.0,0.5516656462585033,0.5059230612244898,0.42495498412698407,-0.08199319125914603,0.024466044952709664,0.04924526464482383,0.04806031988364052,0.024945933135565,0.021714042787357668,-0.06726819003973816,-0.1073197685170566
2025-02-26,BTC,88680.39,89414.15,82256.01,84250.09,56893.54409,-0.891,2.0,0.3454738095238095,0.38117306122448985,0.38775720634920635,-0.05124925785668909,0.027184617149182716,0.050084926083507654,0.04808365388629681,0.026382463424968035,0.030286733224854867,0.03081124305030425,-0.09409687277485401
2025-02-27,BTC,84250.09,87078.46,82716.49,84708.58,42505.45439,0.4939,2.0,0.35282380952380954,0.3524730612244898,0.39707470634920633,0.005427257747781736,0.02738787257228124,0.05096516038543708,0.04885668249988871,0.03412507593794901,-0.020961158834205462,-0.005727755086910924,-0.024712490753593053
2025-02-28,BTC,84708.57,85120.0,78258.52,84349.94,83648.03969,0.1269,6.0,0.2435,0.2935587755102041,0.384946373015873,-0.004242797559089215,0.027295675805620537,0.051207479291924304,0.0488586402799633,0.034786075465908846,-0.007940965933111555,-0.006038534230137005,-0.056225766135696076
2025-03-02,BTC,86064.54,95000.0,85050.6,94270.0,54889.09045,0.3657857142857143,14.0,0.15744081632653062,0.2587163265306122,0.36978923015873016,0.1111889077382077,0.04220585520677443,0.05145063350009489,0.03800763787081284,0.03761809519077909,-0.13953771083059296,-0.08685159647820095,-0.11505420600403105
2025-03-03,BTC,94269.99,94416.46,85117.11,86220.61,59171.10218,0.8457333333333333,6.0,0.2684170068027211,0.2949734693877551,0.40735811904761904,-0.08925376118948612,0.04813379836271664,0.05174349856379785,0.02994041526038028,0.0376224413876407,-0.042287801025764016,0.014817222935444407,-0.028538536203814857
2025-03-04,BTC,86221.16,88967.52,81500.0,87281.98,55609.10706,0.007599999999999996,4.0,0.14004557823129254,0.296730612244898,0.4001225634920635,0.01223478265846054,0.04776154057760643,0.05228049812684015,0.029824671912176602,0.03673784000490577,-0.03748711933436888,-0.0042713284002035,-0.03082423198923756
2025-03-05,BTC,87281.98,91000.0,86334.53,90606.01,38264.01163,0.0963,4.0,0.14931700680272111,0.35049132653061227,0.39233756349206345,0.03737651951263447,0.04924526464482383,0.04806031988364052,0.027844111082517872,0.036127485314093453,-0.08709113225491327,-0.03723814788886526,-0.07257388334394144
2025-03-07,BTC,89931.88,91283.02,84667.03,86801.75,57980.35713,0.30746666666666667,6.0,0.3205265306122449,0.33300017006802723,0.39383311904761903,-0.042893763636276755,0.050084926083507654,0.04808365388629681,0.026828536313245346,0.03621613082802316,0.0005090911185545721,-0.02738850311197638,-0.02135717309846863
2025-03-11,BTC,78595.86,83617.4,76606.0,82932.99,48770.06853,0.9246,2.0,0.38205510204081633,0.3674394557823129,0.40456111904761904,-0.045593850436428204,0.05096516038543708,0.04885668249988871,0.024690705579609347,0.03524545849456297,0.015559549945082018,-0.006547454758353721,0.027085120167499088
2025-03-12,BTC,82932.99,84539.85,80607.65,83680.12,31933.986,-0.25,2.0,0.32821224489795914,0.2858561224489796,0.36844445238095236,0.008968502033038601,0.051207479291924304,0.0488586402799633,0.024555133446790427,0.0352640646109696,0.0019176597739105627,-0.013505119256521203,0.04584254898296036
2025-03-13,BTC,83680.12,84336.33,79939.9,81115.78,27546.27412,-0.5267,2.0,0.2007142857142857,0.17907755102040818,0.33639223015873015,-0.03112391755655611,0.05145063350009489,0.03800763787081284,0.024308395103214604,0.03928043231253743,0.06123000974656234,0.0498369121273321,0.15502902148016084
2025-03-16,BTC,84338.44,85117.04,81981.12,82574.53,17596.12531,0.9628,2.0,0.21743809523809526,0.24292755102040817,0.3661188968253969,0.01782376267187234,0.05174349856379785,0.02994041526038028,0.024903919846540445,0.03912724629579934,0.05962649741996717,0.007733135144698977,0.14610013523540477
2025-03-17,BTC,82574.52,84756.83,82456.0,84010.03,17214.74358,-0.08216666666666668,6.0,0.20461428571428572,0.17232993197278912,0.36660111904761905,0.017234917011719673,0.05228049812684015,0.029824671912176602,0.02455031125575124,0.03341506947337666,0.034509450835810807,-0.0014303054051998387,0.12638931327604563
2025-03-18,BTC,84010.02,84021.74,81134.66,82715.03,17610.89883,0.12116,10.0,0.20816571428571432,0.1787413605442177,0.36159311904761904,-0.015534869726955195,0.04806031988364052,0.027844111082517872,0.0241864753786444,0.03395790292467695,0.054608938665681395,0.00994934052493246,0.13340102760042516
2025-03-19,BTC,82715.03,87000.0,82547.16,86845.94,28151.05374,0.9732,2.0,0.3032704761904762,0.31189850340136055,0.3686975634920635,0.04873441757894435,0.04808365388629681,0.026828536313245346,0.02553374239014678,0.030946777360741203,-0.02788339903972481,-0.09690654508431829,0.09401982407007159
2025-03-20,BTC,86845.93,87453.67,83655.23,84223.39,22090.30463,0.32975,12.0,0.2182919047619048,0.30017350340136056,0.36294173015873016,-0.030663070683642123,0.04885668249988871,0.024690705579609347,0.024945933135565,0.025452878746660846,-0.021768299756160348,-0.06008010363866845,0.11912878358375267
2025-03-22,BTC,84088.79,84539.17,83625.1,83840.59,5420.22114,0.0,2.0,0.2540061904761905,0.2911092176870748,0.3344250634920635,-0.0045554158836728165,0.0488586402799633,0.024555133446790427,0.026382463424968035,0.021994841020787415,-0.015393259994950004,-0.08967219815604821,0.15561138107448924
2025-03-23,BTC,83840.59,86129.64,83809.75,86082.5,8461.97813,0.02406666666666668,6.0,0.3326871428571429,0.2667007142857143,0.3053706190476191,0.026388880980959678,0.03800763787081284,0.024308395103214604,0.03412507593794901,0.02073362131591994,-0.010735747683907948,-0.04027856997647605,0.11354131211337948
2025-03-24,BTC,86082.5,88765.43,85519.09,87498.16,30115.62111,-0.886,2.0,0.06857285714285714,0.14300547619047618,0.24411395238095238,0.01631162582836565,0.02994041526038028,0.024903919846540445,0.034786075465908846,0.0218862689817495,-0.04897325840909117,-0.09018315356574358,0.07748117217550621
2025-03-26,BTC,87392.88,88275.0,85860.0,86909.17,18408.78485,0.9001,2.0,0.2088966666666667,0.20675547619047618,0.24566461904761905,-0.006754214276579032,0.029824671912176602,0.02455031125575124,0.03761809519077909,0.021902536059102858,-0.034740867965946554,-0.040103132960538024,0.09003089087146954
2025-03-27,BTC,86909.17,87756.39,85800.0,87232.01,17098.03897,0.9501,2.0,0.32731666666666664,0.2677411904761905,0.26606350793650796,0.0037078004164337397,0.027844111082517872,0.0241864753786444,0.0376224413876407,0.021845289490324514,-0.04234706961355117,-0.03980201763091318,0.11232677087229792
2025-03-28,BTC,87232.01,87515.67,83585.0,84424.38,27182.73169,0.0,4.0,0.18828809523809525,0.2457792857142857,0.2666301746031746,-0.0327151282624945,0.026828536313245346,0.02553374239014678,0.03673784000490577,0.02589225155929896,-0.07100294962189835,0.0019804705702308745,0.22312535786463572
2025-03-30,BTC,82648.53,83534.64,81565.0,82389.99,9864.49508,0.6597,2.0,0.2354238095238095,0.22685785714285714,0.3104985079365079,-0.024392273494858552,0.024690705579609347,0.024945933135565,0.036127485314093453,0.026117777715267437,-0.03916434508609601,0.019910064317279375,0.24981190069327597
2025-03-31,BTC,82390.0,83943.08,81278.52,82550.01,20569.13885,0.1002,12.0,0.24973809523809523,0.2518721428571428,0.29542707936507934,0.0019403425512951966,0.024555133446790427,0.026382463424968035,0.03621613082802316,0.025863455445606788,-0.07544020891093772,0.029047846269188993,0.26964890737142255
2025-04-01,BTC,82550.0,85579.46,82432.74,85158.34,20190.39697,0.075925,8.0,0.25714642857142855,0.2949167857142857,0.2832095793650794,0.031108055610873073,0.024308395103214604,0.03412507593794901,0.03524545849456297,0.02078943347709855,-0.02986342852620183,0.00024542516916148394,0.2226400843417098
2025-04-03,BTC,82516.28,83998.02,81211.24,83213.09,27337.84135,-0.25303333333333333,6.0,0.34757023809523807,0.20807154761904761,0.245036246031746,-0.023107679933113145,0.024903919846540445,0.034786075465908846,0.0352640646109696,0.021464443093761772,-0.04333200461610054,0.051712296707164596,0.23527824768915573
2025-04-04,BTC,83213.09,84720.0,81659.0,83889.87,32915.53976,-0.6369,2.0,0.12799880952380951,0.16844773809523808,0.19153291269841272,0.008100200026060092,0.02455031125575124,0.03761809519077909,0.03928043231253743,0.021461111014247247,-0.005555259532527557,0.11683424947493659,0.24095698324481862
2025-04-05,BTC,83889.87,84266.0,82379.95,83537.99,9360.40468,0.45005,4.0,0.05656309523809524,0.19193988095238093,0.2042379126984127,-0.004203368759459135,0.0241864753786444,0.0376224413876407,0.03912724629579934,0.02129400043854051,0.002657593269840497,0.1328819379063344,0.2385251309015215
2025-04-06,BTC,83537.99,83817.63,77153.83,78430.0,27942.71436,0.46745,4.0,0.12334166666666667,0.15581488095238094,0.1896129126984127,-0.06309499122461922,0.02553374239014678,0.03673784000490577,0.03341506947337666,0.021377721343582998,0.07856151982659698,0.20652811424199924,0.3148877980364655
2025-04-07,BTC,78430.0,81243.58,74508.0,79163.24,78387.53089,-0.8807,2.0,-0.09671547619047619,0.06935416666666665,0.15920957936507935,0.00930554243469642,0.024945933135565,0.036127485314093453,0.03395790292467695,0.021463869764853115,0.06148232437176637,0.18425294366425615,0.33362075630052535
2025-04-08,BTC,79163.24,80867.99,76239.9,76322.42,35317.32063,-0.7760666666666666,6.0,-0.22189642857142852,0.013920833333333327,0.16304069047619046,-0.036545314426559464,0.026382463424968035,0.03621613082802316,0.030946777360741203,0.020773361736948805,0.11301384311451357,0.2448659253729113,0.39998168297074455
2025-04-09,BTC,76322.42,83588.0,74620.0,82615.22,75488.28772,0.21234999999999998,8.0,-0.20240714285714284,0.02736964285714285,0.15365569047619046,0.0792271898213657,0.03412507593794901,0.03524545849456297,0.025452878746660846,0.022320745323165574,0.031035685676319646,0.14091350237885947,0.3520052358391106
2025-04-10,BTC,82615.22,82753.21,78464.36,79607.3,33284.80718,0.589175,8.0,-0.08209166666666665,0.1327392857142857,0.16906485714285713,-0.03708812786599812,0.034786075465908846,0.0352640646109696,0.021994841020787415,0.025224148998238258,0.09934930590536295,0.21706351050720207,0.34809621730670437
2025-04-11,BTC,79607.3,84300.0,78969.58,83423.84,34435.43797,-0.46745,4.0,-0.057884523809523795,0.03505714285714285,0.14129033333333335,0.04682832264786211,0.03761809519077909,0.03928043231253743,0.02073362131591994,,0.12307321264521032,0.14902910247238688,
2025-04-13,BTC,85276.91,86100.0,83034.23,83760.0,24680.04181,-0.6495,4.0,-0.2149630952380952,-0.0792,0.09144922222222222,0.004021446726339728,0.0376224413876407,0.03912724629579934,0.0218862689817495,,0.12987917860553955,0.12556852913084993,
2025-04-14,BTC,83760.0,85799.99,83678.0,84591.58,28659.09348,0.17379999999999998,4.0,-0.2569130952380952,-0.0667857142857143,0.09698922222222221,0.009879167909975919,0.03673784000490577,0.03341506947337666,0.021902536059102858,,0.11864561461081591,0.11989491152665543,
2025-04-16,BTC,83643.99,85500.0,83111.64,84030.38,20867.24519,0.289025,8.0,-0.08980952380952378,-0.0932625,0.10341338888888889,-0.006656334347901147,0.036127485314093453,0.03395790292467695,0.021845289490324514,,0.11565959835002526,0.15470738083059943,
